,nav
2024-01-29,1.139207422433428
2024-01-30,1.1433249712880953
2024-01-31,1.1434454786417174
2024-02-01,1.1414192311652658
2024-02-02,1.1435711953643661
2024-02-05,1.1425312885885859
2024-02-06,1.138818975741521
2024-02-07,1.1380184464252345
2024-02-08,1.140043043986139
2024-02-19,1.1370916832471112
2024-02-20,1.1367950747285565
2024-02-21,1.1349133662119992
2024-02-22,1.1372454251870148
2024-02-23,1.1384584693132302
2024-02-26,1.139194957385727
2024-02-27,1.1386696726579297
2024-02-28,1.1389957922375844
2024-02-29,1.1384675565535183
2024-03-01,1.139920965237788
2024-03-04,1.1436688797928511
2024-03-05,1.1439606567549463
2024-03-06,1.1461370124978705
2024-03-07,1.1481910883721238
2024-03-08,1.149139322804239
2024-03-11,1.1470265902376577
2024-03-12,1.1463248233889543
2024-03-13,1.146197474179228
2024-03-14,1.1449665481557372
2024-03-15,1.1448893546854104
2024-03-18,1.1438565427192484
2024-03-19,1.1444707543878758
2024-03-20,1.1451559513405065
2024-03-21,1.1492809604389371
2024-03-22,1.150332219467909
2024-03-25,1.1504963351363073
2024-03-26,1.1508821128602829
2024-03-27,1.1514140664960943
2024-03-28,1.1524392857029964
2024-03-29,1.1560686128180724
2024-04-01,1.1563868041867857
2024-04-02,1.1564628402772346
2024-04-03,1.1586645418765151
2024-04-08,1.1619138170515406
